cultivar	flowcell_lane	filename	PlateID	readMappingIds
ZeaSynDH-2077.fastq	gbsFlowcell	ZeaSynDH-2077.fastq	gbs	321
ZeaSynDH-1253.fastq	gbsFlowcell	ZeaSynDH-1253.fastq	gbs	322
ZeaSynDH-2564.fastq	gbsFlowcell	ZeaSynDH-2564.fastq	gbs	323
ZeaSynDH-3007.fastq	gbsFlowcell	ZeaSynDH-3007.fastq	gbs	324
ZeaSynDH-99.fastq	gbsFlowcell	ZeaSynDH-99.fastq	gbs	325
ZeaSynDH-10.fastq	gbsFlowcell	ZeaSynDH-10.fastq	gbs	326
ZeaSynDH-1045.fastq	gbsFlowcell	ZeaSynDH-1045.fastq	gbs	327
ZeaSynDH-2833.fastq	gbsFlowcell	ZeaSynDH-2833.fastq	gbs	328
ZeaSynDH-3051.fastq	gbsFlowcell	ZeaSynDH-3051.fastq	gbs	329
ZeaSynDH-2023.fastq	gbsFlowcell	ZeaSynDH-2023.fastq	gbs	330
ZeaSynDH-2587.fastq	gbsFlowcell	ZeaSynDH-2587.fastq	gbs	331
ZeaSynDH-2065.fastq	gbsFlowcell	ZeaSynDH-2065.fastq	gbs	332
ZeaSynDH-3222.fastq	gbsFlowcell	ZeaSynDH-3222.fastq	gbs	333
ZeaSynDH-3712.fastq	gbsFlowcell	ZeaSynDH-3712.fastq	gbs	334
